3 2 4 13 362.282 1306.2 -0.00237274 -0.00319964	337.387407322 -15.9675987209
3 2 12 13 1200.88 1312.09 -0.00145835 -0.000158711	337.386913847 -15.9043904707
3 2 5 13 427.395 1313.26 -0.00325453 0.0039724	337.386853434 -15.9626896292
3 2 14 13 1394.47 1319.08 0.00119928 -0.00416999	337.38636021 -15.8898038891
3 2 9 14 884.648 1345.67 0.00129417 -6.20978e-05	337.384303833 -15.9282219743
3 2 14 14 1353.42 1373.13 0.00103101 0.00281489	337.382140677 -15.8928969864
3 2 12 14 1186.65 1418.62 -0.00512022 -6.32502e-05	337.378593961 -15.9054631463
3 2 12 15 1133.63 1453.39 0.000727627 0.00543451	337.375880115 -15.9094585589
3 2 13 15 1266.58 1520.39 -0.00213136 0.000656991	337.370642835 -15.8994405852
3 2 12 15 1181.63 1531.99 -0.000577513 0.00172815	337.369739453 -15.9058417277
3 2 10 16 1001.77 1557.72 -0.00377304 0.00166978	337.367735209 -15.9193957121
3 2 14 16 1353.14 1567.4 -0.00430163 0.000683834	337.366968957 -15.89291861
3 2 1 16 57.3674 1567.84 -0.00183346 0.001985	337.366965754 -15.9905927691
3 2 20 17 1982.08 1711.47 -0.00457765 0.000830747	337.355709824 -15.8455405502
3 2 3 18 228.892 1755.49 -0.00292481 0.000227296	337.352298628 -15.977658863
